MODEL NAME, BATCH SIZE, AVG LATENCY (ms), AVG MEM USAGE (MiB)
RESNET18,1,3.674,45.264
RESNET18,2,3.696,45.838
RESNET18,4,3.784,46.987
RESNET18,8,4.55,49.284
RESNET18,16,7.685,53.877
RESNET18,32,14.588,63.065
RESNET18,64,28.667,81.44
MOBILENET_V2,1,8.065,14.151
MOBILENET_V2,2,8.161,14.726
MOBILENET_V2,4,8.123,15.874
MOBILENET_V2,8,8.719,18.171
MOBILENET_V2,16,11.893,22.765
MOBILENET_V2,32,21.952,31.952
MOBILENET_V2,64,42.451,50.327
BERT-BASE-UNCASED,1,10.511,418.762
BERT-BASE-UNCASED,2,10.073,418.797
BERT-BASE-UNCASED,4,11.248,418.867
BERT-BASE-UNCASED,8,12.537,419.009
BERT-BASE-UNCASED,16,12.426,419.292
BERT-BASE-UNCASED,32,14.571,420.828
BERT-BASE-UNCASED,64,20.787,420.991
GPT2,1,10.922,488.055
GPT2,2,10.745,488.641
GPT2,4,11.039,489.813
GPT2,8,11.443,492.157
GPT2,16,11.321,496.845
GPT2,32,11.623,510.472
GPT2,64,16.232,525.476
