MODEL NAME, BATCH SIZE, AVG LATENCY (ms), AVG MEM USAGE (MiB)
RESNET18,1,3.73,45.268
RESNET18,2,3.664,45.846
RESNET18,4,3.767,47.002
RESNET18,8,4.564,49.314
RESNET18,16,7.73,53.938
RESNET18,32,14.768,63.187
RESNET18,64,29.088,81.684
WIDE-RESNET101-2,1,19.599,493.19
WIDE-RESNET101-2,2,20.837,493.768
WIDE-RESNET101-2,4,27.822,494.924
WIDE-RESNET101-2,8,48.197,497.236
WIDE-RESNET101-2,16,86.117,501.86
WIDE-RESNET101-2,32,152.75,511.109
WIDE-RESNET101-2,64,283.116,529.606
MOBILENET_V2,1,8.16,14.155
MOBILENET_V2,2,8.227,14.733
MOBILENET_V2,4,8.171,15.89
MOBILENET_V2,8,8.064,18.202
MOBILENET_V2,16,11.758,22.826
MOBILENET_V2,32,23.616,32.074
MOBILENET_V2,64,44.774,50.571
BERT-BASE-UNCASED,1,10.26,418.762
BERT-BASE-UNCASED,2,10.251,418.797
BERT-BASE-UNCASED,4,11.152,418.867
BERT-BASE-UNCASED,8,13.511,419.009
BERT-BASE-UNCASED,16,12.909,419.292
BERT-BASE-UNCASED,32,14.881,420.828
BERT-BASE-UNCASED,64,22.637,420.991
GPT2,1,10.724,488.055
GPT2,2,10.952,488.641
GPT2,4,11.02,489.813
GPT2,8,11.18,492.157
GPT2,16,11.246,496.845
GPT2,32,11.555,510.472
GPT2,64,16.674,525.476
